ANCG,SAR,JUR,CAB,MUN,VIN,OTR,sample,seascape
0,0,0,0,0,0,0,823,7
0,0,0,0,0,0,0,824,7
0,0,0,0,0,0,0,825,7
0,0,0,0,0,0,0,826,7
0,0,0,0,0,578.391633,0,827,7
0,0,0,0,0,1499.862958,0,828,7
0,0,0,0,0,1565.958164,0,829,7
0,0,0,0,0,0,0,830,7
0,0,0,0,0,0,0,831,7
0,0,0,0,0,19.619495,0,832,7
0,0,0,0,0,1696.258551,0,833,7
0,0,0,0,0,3546.817414,0,834,7
0,0,0,0,0,0,0,835,7
0,0,0,0,0,0,0,836,7
0,0,0,0,0,0,0,837,7
0,0,0,0,0,0,0,838,7
0,0,0,0,0,0,0,930,7
0,0,0,0,0,0,0,931,7
0,0,0,0,0,597.026893,0,932,7
0,0,0,0,0,0,0,933,7
0,0,0,0,0,0,0,934,7
